movie_name,month,year,critic_vote_metacritic,meta_score_metacritic,critic_vote_rotten,meta_score_rotten,critic_vote,meta_score
Last Vegas,11,2013,34,48,145,46,179,46.38
Late Night,6,2019,46,70,301,80,347,78.67
Law Abiding Citizen,10,2009,26,34,162,26,188,27.11
Lawless,8,2012,38,58,221,67,259,65.68
Laws of Attraction,4,2004,36,38,147,18,183,21.93
Layer Cake,5,2005,,,,,0,0
Leap Year,1,2010,30,33,27,93,57,61.42
Leatherheads,4,2008,34,56,170,52,204,52.67
Leaves of Grass,9,2010,13,66,,,13,66.00
Left Behind,10,2014,25,12,70,0,95,3.16
Legally Blonde,7,2001,32,59,152,71,184,68.91
Legally Blonde 2: Red White & Blonde,7,2003,39,47,,,39,47.00
"Legally Blonde 2: Red, White & Blonde",8,2003,39,47,159,36,198,38.17
Legend,9,2015,31,55,173,61,204,60.09
Legend of the Guardians: The Owls of Ga'Hoole,9,2010,21,53,134,52,155,52.14
Legends of Oz: Dorothy's Return,5,2014,,,61,16,61,16.00
Legion,1,2010,14,32,107,20,121,21.39
Les Misérables,12,2012,41,63,257,70,298,69.04
Les Mis�rables,12,2012,41,63,,,41,63.00
Let Me In,10,2010,35,79,237,88,272,86.84
Let There Be Light,10,2017,16,5,11,27,27,13.96
Let's Be Cops,8,2014,23,30,82,18,105,20.63
Letters from Iwo Jima,12,2006,37,89,,,37,89.00
Letters to God,4,2010,7,31,24,25,31,26.35
Letters to Juliet,5,2010,34,50,162,42,196,43.39
License to Wed,7,2007,30,25,124,7,154,10.51
Life,3,2017,44,54,,,44,54.00
Life During Wartime,7,2010,,,,,0,0
Life Itself,7,2014,35,87,204,98,239,96.39
Life as We Know It,10,2010,31,39,153,30,184,31.52
Life as a House,10,2001,32,45,106,47,138,46.54
Life of Pi,11,2012,44,79,255,86,299,84.97
Life of the Party,5,2018,32,46,154,38,186,39.38
Life or Something Like It,4,2002,32,31,121,27,153,27.84
Lights Out,7,2016,34,58,182,75,216,72.32
Like Mike,7,2002,27,47,97,57,124,54.82
Lilo & Stitch,6,2002,30,74,151,87,181,84.85
Limitless,3,2011,37,59,205,68,242,66.62
Lincoln,11,2012,45,87,290,90,335,89.60
Lion,11,2016,45,69,270,84,315,81.86
Lions for Lambs,11,2007,36,47,183,27,219,30.29
Little,4,2019,37,49,161,47,198,47.37
Little Black Book,8,2004,33,36,111,22,144,25.21
Little Boy,4,2015,24,30,54,26,78,27.23
Little Children,10,2006,34,75,162,80,196,79.13
Little Fockers,12,2010,32,27,149,9,181,12.18
Little Man,7,2006,22,26,91,12,113,14.73
Little Miss Sunshine,7,2006,36,80,219,91,255,89.45
Little Nicky,11,2000,29,38,114,22,143,25.24
Little Women,9,2018,11,40,27,30,38,32.89
Live Free or Die Hard,6,2007,34,69,210,82,244,80.19
Live by Night,12,2016,43,49,239,35,282,37.13
Local Color,10,2007,,,,,0,0
Lockout,4,2012,32,48,143,38,175,39.83
Logan,3,2017,51,77,429,93,480,91.30
Logan Lucky,8,2017,51,78,289,92,340,89.90
London Has Fallen,3,2016,35,28,197,28,232,28.00
Lone Survivor,12,2013,44,60,226,75,270,72.56
Long Shot,5,2019,45,67,304,82,349,80.07
Looney Tunes: Back in Action,11,2003,32,64,136,57,168,58.33
Looper,9,2012,44,84,275,93,319,91.76
Lord of War,9,2005,31,62,150,62,181,62.00
Lords of Dogtown,6,2005,35,56,146,55,181,55.19
Lost Souls,10,2000,29,16,93,8,122,9.90
Lost in Translation,9,2003,44,91,236,95,280,94.37
Lottery Ticket,8,2010,24,50,82,34,106,37.62
Love & Basketball,4,2000,28,72,,,28,72.00
Love & Friendship,5,2016,36,87,,,36,87.00
Love & Other Drugs,11,2010,38,55,,,38,55.00
Love Actually,11,2003,41,55,228,64,269,62.63
Love Happens,9,2009,26,33,111,16,137,19.23
Love Ranch,6,2010,23,37,50,12,73,19.88
Love Simon,3,2018,38,72,,,38,72.00
Love in the Time of Cholera,11,2007,29,43,111,27,140,30.31
Love the Coopers,11,2015,26,31,120,18,146,20.32
Love's Abiding Joy,10,2006,,,8,13,8,13.00
"Love, Simon",3,2018,38,72,239,92,277,89.26
Loving,11,2016,46,79,296,88,342,86.79
Loving Vincent,9,2017,21,62,162,85,183,82.36
Lowriders,5,2017,,,,,0,0
