movie_name,month,year,budget,runtime,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
Evangerion shin gekijôban: Jo,1,2008,,98,PG-13,,,107797,9034766,9142563,Japan
Kardeşim Benim,1,2016,,,,,,,9138840,9138840,Turkey
Official Secrets,9,2019,,100,R,4,64965,1996766,7133569,9130335,"United Kingdom, United States"
Juste La Fin Du Monde,9,2016,,97,Not,,,,9122927,9122927,"Canada, France"
The Adventures of Shuke and Beita,12,2023,,,,,,,9119427,9119427,China
Filth,11,2013,,97,R,3,7526,34411,9079853,9114264,United Kingdom
Mientras duermes,5,2012,5000000,108,Not,,,,9109597,9109597,Spain
Naratâju,10,2017,,140,,,,,9109549,9109549,Japan
Wo shi lu ren jia,6,2015,,134,,,,,9102576,9102576,China
Meet the Blacks,,2016,900000,93,R,1015,4055940,9097072,,,United States
Marguerite,9,2015,,127,R,3,21723,497323,8595029,9092352,"Belgium, Czech Republic, France"
Baram Baram Baram,4,2018,,100,,,,,9083567,9083567,Republic of Korea
Metallica Through the Never,10,2013,18000000,93,R,305,1576561,3419967,5662939,9082906,United States
Tu xia zhi qing li chuan shuo,2,2015,,90,Not,,,,9076648,9076648,China
Sadako vs. Kayako,1,2016,,98,,,,,9075247,9075247,Japan
Cien años de perdón,3,2016,,96,R,,,,9074836,9074836,"Argentina, France, Spain"
Gu Tian Jun Hao,8,2019,,90,,,,,9070000,9070000,China
Brave Story,7,2006,,112,Not,,,,9069428,9069428,Japan
The Last Recipe: Kirin no shita no kioku,11,2017,,,,,,,9066016,9066016,Japan
Jagga Jasoos,7,2017,,161,Not,210,490232,861740,8193932,9055672,India
Jiǎn Chá Fēng Yún,4,2023,,100,,,,,9051541,9051541,China
Werk ohne Autor,10,2018,1400000,189,R,1,,1303747,7745204,9048951,Germany
Le premier jour du reste de ta vie,,2008,,,,,,,9046096,9046096,France
Zashchitniki,2,2017,,89,,,,,9043794,9043794,Russian Federation
Paulette,1,2013,,87,R,1,882,29086,9014168,9043254,France
Hanu Man,1,2024,2500000,,,430,2300000,2300000,6738053,9038053,India
Teukbyeolsusa: Sahyoungsuui Pyeonji,5,2016,,120,,,,,9037565,9037565,Republic of Korea
Replicas,10,2018,30000000,107,PG-13,2329,2375325,4046429,4990998,9037427,United States
El mejor verano de mi vida,7,2018,,91,,,,,9036095,9036095,Spain
Snowtime!,12,2015,,82,PG,,,,9034956,9034956,Canada
Frau Müller muss weg!,1,2015,,83,,,,,9031225,9031225,Germany
Ba Jie Chuan Shuo,7,2019,,90,,,,,9023944,9023944,China
Ketenpere,11,2017,,108,,,,,8992225,8992225,Turkey
What We Did on Our Holiday,9,2014,,95,PG-13,,,4200,8979247,8983447,United Kingdom
Super Express,12,2016,,91,,,,,8980243,8980243,China
