movie_name,month,year,budget,runtime,genres,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
The Water Horse,12,2007,,112.0,Adventure Family Fantasy War,PG,2777,9186054.0,40946255.0,63021129.0,103967384.0,
The Pirates Who Don't Do Anything,1,2008,,85.0,Adventure Animation Comedy Family Fantasy,G,1340,4251320.0,12981269.0,266456.0,13247725.0,
The Great Debaters,12,2007,,126.0,Biography Drama Romance,PG-13,1290,6005180.0,30236407.0,,30236407.0,
Enchanted,11,2007,85000000.0,107.0,Adventure Animation Comedy Family Fantasy Musical Romance,PG,3730,34440317.0,127807262.0,212680390.0,340487652.0,
The Other Boleyn Girl,2,2008,35000000.0,115.0,Biography Drama History Romance,PG-13,1212,8203061.0,26814957.0,51384722.0,78199679.0,
Michael Clayton,10,2007,,119.0,Crime Drama Mystery Thriller,R,2585,719910.0,49033882.0,43957953.0,92991835.0,
Aliens vs. Predator: Requiem,12,2007,,94.0,Action Horror Sci-Fi Thriller,R,2617,10059425.0,41797066.0,88493819.0,130290885.0,
Over Her Dead Body,2,2008,,95.0,Comedy Fantasy Romance,PG-13,1977,4600000.0,7563670.0,13894441.0,21458111.0,
The Golden Compass,12,2007,180000000.0,113.0,Adventure Family Fantasy,PG-13,3528,26125000.0,70107728.0,302127136.0,372234864.0,
How She Move,1,2008,,94.0,Drama,PG-13,1531,3957471.0,7070641.0,1588571.0,8659212.0,
Strange Wilderness,2,2008,,87.0,Adventure Comedy,R,1211,3001719.0,6575282.0,389452.0,6964734.0,
In the Name of the King: A Dungeon Siege Tale,1,2008,,127.0,Action Adventure Fantasy Thriller War,PG-13,1632,3265000.0,4775656.0,8322259.0,13097915.0,
Witless Protection,2,2008,,99.0,Comedy Crime,PG-13,1354,2116692.0,4161625.0,,4161625.0,
Charlie Bartlett,2,2008,12000000.0,97.0,Comedy Drama Romance,R,1122,1836256.0,3951699.0,1303287.0,5254986.0,
Walk Hard: The Dewey Cox Story,12,2007,35000000.0,96.0,Comedy Music,R,2650,4174383.0,18317151.0,2259047.0,20576198.0,
Bee Movie,11,2007,150000000.0,91.0,Adventure Animation Comedy Drama Family,PG,3984,38021044.0,126631277.0,166883059.0,293514336.0,
August Rush,11,2007,,114.0,Drama Music,PG,2310,9421369.0,31664162.0,34457864.0,66122026.0,
The Game Plan,9,2007,,110.0,Comedy Family Sport,PG,3342,22950971.0,90648202.0,57232341.0,147880543.0,
Beowulf,11,2007,150000000.0,115.0,Action Adventure Animation Fantasy,PG-13,3249,27515871.0,82280579.0,114113166.0,196393745.0,
American Gangster,11,2007,100000000.0,157.0,Biography Crime Drama,R,3110,43565135.0,130164645.0,139590785.0,269755430.0,
Mr. Magorium's Wonder Emporium,11,2007,,93.0,Comedy Family Fantasy,G,3168,9630085.0,32061555.0,37413106.0,69474661.0,
Dan in Real Life,10,2007,,98.0,Comedy Drama Romance,PG-13,1941,11809445.0,47642963.0,20828706.0,68471669.0,
Fred Claus,11,2007,,116.0,Comedy Family Fantasy,PG,3603,18515473.0,72006777.0,25831572.0,97838349.0,
Hitman,11,2007,,94.0,Action Crime Thriller,R,2468,13180769.0,39687694.0,61588624.0,101276318.0,
Awake,11,2007,8600000.0,84.0,Crime Drama Mystery Thriller,R,2023,5856872.0,14377198.0,18352864.0,32730062.0,
The Mist,11,2007,18000000.0,126.0,Horror Sci-Fi Thriller,R,2423,8931973.0,25594957.0,31875263.0,57470220.0,
The Perfect Holiday,12,2007,,96.0,Comedy Family Fantasy Romance,PG,1307,2283360.0,5812781.0,,5812781.0,
This Christmas,11,2007,13000000.0,119.0,Comedy Drama Romance,PG-13,1921,17958183.0,49121934.0,656618.0,49778552.0,
Lions for Lambs,11,2007,35000000.0,92.0,Crime Drama Mystery Thriller War,R,2216,6702434.0,15002854.0,49808686.0,64811540.0,
Monsters vs. Aliens,3,2009,175000000.0,94.0,Action Adventure Animation Comedy Family Fantasy Sci-Fi,PG,4136,59321095.0,198351526.0,183158344.0,381509870.0,
Fast & Furious,4,2009,85000000.0,107.0,Action Crime Thriller,PG-13,3674,70950500.0,155064265.0,205300000.0,360364265.0,
Watchmen,3,2009,130000000.0,162.0,Action Drama Mystery Sci-Fi,R,3611,55214334.0,107509799.0,77873014.0,185382813.0,
Knowing,3,2009,50000000.0,121.0,Action Mystery Sci-Fi Thriller,PG-13,3337,24604751.0,79957634.0,103700864.0,183658498.0,
I Love You Man,3,2009,,105.0,Comedy Romance,R,2829,17810270.0,71440011.0,20540348.0,91980359.0,
Hannah Montana: The Movie,4,2009,,102.0,Comedy Drama Family Music Romance,,3231,32324487.0,79576189.0,75969090.0,155545279.0,
Race to Witch Mountain,3,2009,,98.0,Action Adventure Family Fantasy Sci-Fi Thriller,PG,3268,24402214.0,67172594.0,39214547.0,106387141.0,
The Haunting in Connecticut,3,2009,,92.0,Drama Horror Mystery Thriller,PG-13,2732,23004765.0,55389516.0,22146843.0,77536359.0,
17 Again,4,2009,,102.0,Comedy Drama Fantasy Romance Sport,PG-13,3255,23722310.0,64167069.0,72149811.0,136316880.0,
Duplicity,3,2009,60000000.0,125.0,Comedy Crime Romance Thriller,PG-13,2579,13965110.0,40572825.0,37603356.0,78176181.0,
Obsessed,4,2009,20000000.0,108.0,Drama Romance Thriller,PG-13,2634,28612730.0,68261644.0,5568703.0,73830347.0,
